类别,指标,MATLAB值,Python值,绝对差异,相对差异(%),状态
价格,q,0.9890000000,0.9890000000,0.00e+00,0.0000,匹配
价格,rental,0.0261223458,0.0261223458,0.00e+00,0.0000,匹配
价格,wage,0.2750076666,0.2750076666,0.00e+00,0.0000,匹配
价格,KL_ratio,4.5118623507,4.5118623507,0.00e+00,0.0000,匹配
加总变量,C_agg,0.1083626448,0.1083626448,0.00e+00,0.0000,匹配
加总变量,K_corp,-3495.7517861676,-0.1001014809,3.50e+03,99.9971,较大
加总变量,K_agg,-3494.7036394543,0.9558186765,3.50e+03,100.0274,较大
加总变量,K_small,1.0481467133,1.0559201573,7.77e-03,0.7416,很小
加总变量,L_agg,-720.1954161426,0.3022096172,7.20e+02,100.0420,较大
加总变量,L_corp,-774.7913199661,-0.0221862887,7.75e+02,99.9971,较大
加总变量,L_small,54.5959038235,0.3243959060,5.43e+01,99.4058,较大
加总变量,Y_corp,-304.3907900089,-0.0087162850,3.04e+02,99.9971,较大
加总变量,output_small,23.8264316623,0.1365959104,2.37e+01,99.4267,较大
加总变量,exit_rate,0.0170719173,0.0169434522,1.28e-04,0.7525,很小
加总变量,entry_rate,0.0170501282,0.0169434545,1.07e-04,0.6256,很小
加总变量,Mactive,0.0426353302,0.0430982474,4.63e-04,1.0858,较小
加总变量,Mentr,0.0007269378,0.0007302332,3.30e-06,0.4533,很小
模型矩,avefirmsize,7.5667408431,7.5268932096,3.98e-02,0.5266,很小
模型矩,empshare_small,0.0000000000,1.0734135761,1.07e+00,1073413576132.4167,较大
模型矩,revshare_small,0.0000000000,1.0681600761,1.07e+00,1068160076061.2563,较大
模型矩,exitrate,0.0170719173,0.0169434522,1.28e-04,0.7525,很小
模型矩,avefirmsize_age0,2.9381737274,2.9265251875,1.16e-02,0.3965,很小
模型矩,autocorr_emp,0.9539694480,0.9536044761,3.65e-04,0.0383,很小
模型矩,fixedcost_to_rev,0.1022227836,0.9525540427,8.50e-01,831.8412,较大
模型矩,hasNetDebt,0.1898564008,0.1877000732,2.16e-03,1.1358,较小
模型矩,jcr,0.1132702602,0.1133089717,3.87e-05,0.0342,匹配
模型矩,jdr,0.1159481897,0.1158374741,1.11e-04,0.0955,很小
模型矩,entryrate,0.0170497502,0.0169434545,1.06e-04,0.6234,很小
模型矩,frac_exit_forced,0.2317076387,0.2257567863,5.95e-03,2.5683,较小
模型矩,frac_exit_vol,0.5404661519,0.5446596255,4.19e-03,0.7759,很小
